pi;type_pi;group_pi;unit;is_nedra;correct;balance;ИС Недра
агальматолит;неметаллы;поделочные камни;т;;агальматолит;Цветные камни;Драгоценные и поделочные камни
агат;неметаллы;поделочные камни;т;;агат;Цветные камни;Драгоценные и поделочные камни
агрокарбонатные руды;неметаллы;химическое сырье;тыс.куб.м;Горно-химическое сырье;агрокарбонатные руды;Карбонатные породы для химической мелиорации почв;Горно-химическое сырье
аквамарин;неметаллы;поделочные камни;кг;;аквамарин;Цветные камни;Драгоценные и поделочные камни
алевролит;неметаллы;строительные материалы;тыс.куб.м;;алевролит;;
алевролит (кирпично-черепичное сырье);неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;алевролит;Кирпично-черепичное сырье;
алевролит (строительные камни);неметаллы;строительные материалы;тыс.куб.м;;алевролит;;
алевропесчаник;неметаллы;глина;;;алевролит;;
алевропесчаник (строительные камни);неметаллы;строительные материалы;тыс.куб.м;;алевролит;;
алмазы;благородные;алмаз;тыс. каратов;;алмазы;Алмазы;Драгоценные и поделочные камни
алмазы коренные;благородные;алмаз;;;алмазы;Алмазы;Драгоценные и поделочные камни
алмазы россыпные;благородные;алмаз;тыс. каратов;;алмазы россыпные;Алмазы;Драгоценные и поделочные камни
алунит;неметаллы;металлы;тыс.т;;алюминий;Высокоглиноземное сырье;
алюминий;металлы;алюминий;тыс.т;Цветные металлы;алюминий;;
алюминий (глинозем);металлы;алюминий;;Цветные металлы;алюминий (глинозем);Высокоглиноземное сырье;
алюминий (нефелиновые руды);металлы;алюминий;млн.т;Цветные металлы;алюминий (нефелиновые руды);Нефелиновые руды;
амазонит;неметаллы;поделочные камни;т;;амазонит;Цветные камни;Драгоценные и поделочные камни
аметист;неметаллы;поделочные камни;кг;;аметист;Цветные камни;Драгоценные и поделочные камни
аметистовые щетки;неметаллы;поделочные камни;кв.дм;;аметистовые щетки;Цветные камни;Драгоценные и поделочные камни
амфибол-асбест;неметаллы;строительные материалы;;;амфибол-асбест;;
амфиболит;неметаллы;строительные материалы;;;амфиболит;;
амфиболиты;неметаллы;строительные материалы;тыс.куб.м;;амфиболиты;;
анальцим;неметаллы;цеолиты;;;анальцим;Цветные камни;Драгоценные и поделочные камни
андалузит;неметаллы;металлы;тыс.т;Цветные металлы;алюминий;Высокоглиноземное сырье;
андезит;неметаллы;строительные материалы;тыс.куб.м;;андезит;;
андезито-базальт;неметаллы;строительные материалы;тыс.куб.м;;андезито-базальт;;
апатитовые руды;неметаллы;апатитовые руды;тыс.т;Горно-химическое сырье;апатитовые руды;Апатитовые руды;Горно-химическое сырье
апатиты;неметаллы;апатитовые руды;тыс.т;Горно-химическое сырье;апатитовые руды;Апатитовые руды;Горно-химическое сырье
аплит;неметаллы;строительные материалы;;;аплит;;
аргиллит;неметаллы;строительные материалы;тыс.т;Минерально-строительное сырье;аргиллит;Строительные камни;
аргиллит (керамзитовое сырье);неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;аргиллит (керамзитовое сырье);Керамзитовое сырье;
аргиллит (керамзитовое сырье, кирпично-черепичное сырье);неметаллы;строительные материалы;;Минерально-строительное сырье;аргиы кгирпгичные;Кирпично-черепичное сырье;
аргиллит (кирпично-черепичное сырье);неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;аргиллит;Кирпично-черепичное сырье;
аргиллит каолиновый;неметаллы;строительные материалы;;Минерально-строительное сырье;аргиллит каолиновый;;
асбест;неметаллы;строительные материалы;тыс.т;Горно-техническое сырье;асбест;Асбест;Горно-техническое сырье
асбест амфиболовый;неметаллы;асбест;тыс.т;Горно-техническое сырье;амфибол-асбест;Асбест для специзделий;Горно-техническое сырье
асбест хризотиловый;неметаллы;строительные материалы;тыс.т;Горно-техническое сырье;асбест;Асбест;Горно-техническое сырье
базальт;неметаллы;строительные материалы;тыс.т;;базальт;;
базальт (для производства минеральной ваты);неметаллы;строительные материалы;тыс.куб.м;;базальт;;
базальт (минеральная вата);неметаллы;строительные материалы;тыс.куб.м;;базальт;;
базальт (наполнители бетона);неметаллы;строительные материалы;тыс.куб.м;;базальт;;
базальт (строительные камни);неметаллы;строительные материалы;тыс.куб.м;;базальт;;
базальт (цем. сырье - активн. добавки);неметаллы;строительные материалы;тыс.т;;цемент;;
базальты (для производства минеральной ваты);неметаллы;строительные материалы;тыс.куб.м;;базальт;;
барий;металлы;Цветные металлы;тыс.т;;барий;;
барит;неметаллы;барит;тыс.т;;барит;;
бентонит;неметаллы;глина;тыс.т;;бентонит;;
берилл;неметаллы;поделочные камни;кг;;берилл;Цветные камни;Драгоценные и поделочные камни
берилл (ювелирные камни);неметаллы;поделочные камни;кг;;берилл;Цветные камни;Драгоценные и поделочные камни
бериллий;металлы;Редкие металлы;тыс.т;Редкие металлы;бериллий;Бериллий;Редкие металлы
битум;неметаллы;строительные материалы;тыс.т;Минерально-строительное сырье;битум;Асфальтиты и битумы;Минерально-строительное сырье
боксит;неметаллы;алюминий;тыс.т;Цветные металлы;бокситы;Бокситы;Цветные металлы
бокситы;неметаллы;алюминий;тыс.т;Цветные металлы;бокситы;Бокситы;Цветные металлы
болотная железная руда (краски);неметаллы;краски;;Минерально-строительное сырье;краски;Минеральные краски;
бор;неметаллы;бор;тыс.т;;бор;;
бораты и боросиликаты;неметаллы;бор;тыс.т;;бораты и боросиликаты;;
борные руды;неметаллы;бор;тыс.т;;борные руды;;
боросиликаты;неметаллы;бор;тыс.т;;боросиликаты;;
брекчия;неметаллы;строительные материалы;;;брекчия;;
брекчия (строительные камни);неметаллы;строительные материалы;тыс.куб.м;;брекчия;;
бром;неметаллы;бром;тыс.т;;бром;;
бурый уголь;уголь;уголь;тыс.т;Твердые горючие полезные ископаемые;уголь бурый;Уголь;Твердые горючие полезные ископаемые
валунно-гравийно-песчаные отложения;неметаллы;строительные материалы;тыс.куб.м;;валунно-гравийно-песчаные материалы;;
валунно-гравийно-песчаный материал;неметаллы;строительные материалы;тыс.куб.м;;валунно-гравийно-песчаные материалы;;
валунно-гравийно-песчаный материал (балластное сырье);неметаллы;строительные материалы;тыс.куб.м;;валунно-гравийно-песчаные материалы;;
валунно-гравийно-песчаный материал (наполнители бетона);неметаллы;строительные материалы;тыс.куб.м;;валунно-гравийно-песчаные материалы;;
валунно-песчано-гравийный материал;неметаллы;строительные материалы;;;валунно-гравийно-песчаные материалы;;
валуны;неметаллы;строительные материалы;;;валунно-гравийно-песчаные материалы;;
валуны (наполнители бетона);неметаллы;строительные материалы;;;валунно-гравийно-песчаные материалы;;
валуны (отсев) (наполнители бетона);неметаллы;строительные материалы;;;валунно-гравийно-песчаные материалы;;
ванадий;металлы;Редкие металлы;тыс.т;Редкие металлы;ванадий;Ванадий;Редкие металлы
ваннадий;металлы;Редкие металлы;;Редкие металлы;ванадий;Ванадий;Редкие металлы
вермикулит;неметаллы;строительные материалы;тыс.куб.м;;вермикулит;;
висмут;металлы;Цветные металлы;т;Цветные металлы;висмут;Висмут;Цветные металлы
волластонит;неметаллы;силикаты;тыс.т;Горнотехническое сырье;волластонит;Волластонит;
вольфрам;металлы;Цветные металлы;т;Цветные металлы;вольфрам;Вольфрам;Цветные металлы
вольфрам россыпное;металлы;Цветные металлы;т;Цветные металлы;вольфрам россыпной;Вольфрам;Цветные металлы
высокоглиноземистые материалы;неметаллы;металлы;тыс.т;Цветные металлы;алюминий;Высокоглиноземное сырье;
высокоглиноземистый материал;неметаллы;металлы;тыс.т;Цветные металлы;алюминий;Высокоглиноземное сырье;
габбро;неметаллы;строительные материалы;тыс.куб.м;;габбро;;
габбро (бутовый камень);неметаллы;строительные материалы;тыс.куб.м;;габбро;;
габбро (наполнители бетона);неметаллы;строительные материалы;тыс.куб.м;;габбро;;
габбро (строительные камни);неметаллы;строительные материалы;тыс.куб.м;;габбро;;
габбро-диабаз;неметаллы;строительные материалы;тыс.куб.м;;габбро-диабаз;;
габбро-диабаз (балластное сырье);неметаллы;строительные материалы;тыс.куб.м;;габбро-диабаз;;
габбро-диабаз (балластное сырье, строительные камни);неметаллы;строительные материалы;;;габбро-диабаз;;
габбро-диабаз (бутовый камень);неметаллы;строительные материалы;тыс.куб.м;;габбро-диабаз;;
габбро-диабаз (строительные камни);неметаллы;строительные материалы;тыс.куб.м;;габбро-диабаз;;
габбро-диорит;неметаллы;строительные материалы;тыс.куб.м;Минерально-строительное сырье;габбро-диорит;Строительные камни;
габбро-долерит;неметаллы;строительные материалы;;;габбро-долерит;;
габбро-долерит (строительные камни);неметаллы;строительные материалы;тыс.куб.м;;габбро-долерит;;
габбро-монцонит;неметаллы;строительные материалы;тыс.куб.м;;монцонит;;
габродиорит;неметаллы;строительные материалы;;;габродиорит;;
